Code	StockOnHand	Count
"6030858"	0	""
"6022662"	0	""
"6054632"	0	""
"6083830"	48	""
"6081461"	0	""
"601097"	0	""
"6087272"	9	""
"6082413"	0	""
"6026486"	0	""
"6003159"	0	""
"6071417"	0	""
"6001828"	0	""
"6026288"	0	""
"6051143"	0	""
"6083021"	11	""
"6080907"	0	""
"6055226"	0	""
"6054991"	0	""
"6070946"	0	""
"601089"	0	""
"601007"	0	""
"601051"	0	""
"6013134"	439	""
"601100"	0	""
"6085964"	0	""
"6083199"	17.5	""
"6059583"	0	""
"6059590"	0	""
"600984"	0	""
"6043712"	0	""
"602755"	0	""
"600117"	0	""
"600118"	0	""
"6001261"	0	""
"6062392"	0	""
"6066284"	0	""
"6065904"	0	""
"6065911"	0	""
"6023553"	0	""
"6084264"	24	""
"6084325"	39	""
"6002671"	0	""
"6012397"	31	""
"6008765"	3	""
"6084271"	24	""
"6061920"	0	""
"6056469"	0	""
"6049751"	0	""
"6050719"	0	""
"6072780"	0	""
"6003555"	0	""
"6000325"	0	""
"6031794"	0	""
"6086206"	0	""
"6086169"	0	""
"6086152"	0	""
"6086213"	0	""
"6086190"	0	""
"6086176"	0	""
"6086183"	0	""
"6086220"	0	""
"6083328"	0	""
"6086916"	0	""
"6083359"	0	""
"601124"	0	""
"6056797"	0	""
"601106"	0	""
"6075668"	0	""
"6057350"	0	""
"6082901"	0	""
"6057183"	31	""
"601129"	0	""
"601151"	0	""
"6085179"	0	""
"6047511"	0	""
"6008963"	0	""
"601487"	0	""
"601488"	0	""
"601103"	0	""
"6084783"	0	""
"6085117"	0	""
"6047764"	0	""
"6015480"	0	""
"6084820"	0	""
"601729"	0	""
"6031091"	0	""
"601111"	17	""
"601109"	8	""
"601110"	12	""
"6085674"	20	""
"6003425"	0	""
"6085681"	10	""
"6069605"	0	""
"6069643"	0	""
"6069612"	0	""
"6017132"	0	""
"6002411"	0	""
"601141"	0	""
"601102"	0	""
"6066420"	0	""
"602191"	0	""
"6065720"	77	""
"6065645"	0	""
"6065737"	0	""
"6065706"	0	""
"6000509"	0	""
"6012008"	0	""
"6012007"	0	""
"6080594"	0	""
"6080761"	0	""
"6072124"	504	""
"6062347"	0	""
"6073435"	0	""
"6031992"	384	""
"6060893"	240	""
"601277"	0	""
"6039189"	30	""
"601217"	0	""
"601283"	780	""
"601223"	1476	""
"6085292"	76	""
"6065805"	0	""
"6084653"	0	""
"601178"	426	""
"6071929"	0	""
"6038496"	354	""
"601216"	588	""
"6032005"	0	""
"601266"	1685	""
"6054755"	498	""
"6084660"	0	""
"601259"	0	""
"6001087"	0	""
"6065782"	0	""
"601220"	0	""
"601260"	0	""
"6068714"	336	""
"6073459"	0	""
"6033316"	0	""
"6053499"	0	""
"601258"	51	""
"6085643"	15	""
"6082352"	0	""
"6082130"	0	""
"601180"	0	""
"6024420"	30	""
"6086145"	0	""
"6086138"	0	""
"601209"	0	""
"6029197"	0	""
"601210"	0	""
"6081287"	167	""
"6081270"	156	""
"6081256"	167	""
"6081294"	166	""
"6081263"	151	""
"6063108"	0	""
"6080570"	0	""
"6010621"	396	""
"6067137"	0	""
"6043834"	564	""
"6049188"	0	""
"6032531"	0	""
"6072803"	0	""
"6049164"	381	""
"6067229"	270.125	""
"6067236"	303.875	""
"6070731"	0	""
"6052430"	0	""
"6043841"	327.249	""
"6052454"	0	""
"6043827"	0	""
"6070717"	0	""
"6067120"	159	""
"6070700"	0	""
"6070748"	0	""
"6084073"	36	""
"6060947"	0	""
"600065"	6	""
"6081973"	0	""
"6081942"	0	""
